Source,Target,Type,Kind,Id,Label,timeset,Weight
@yubbie007,@trollfootball,Directed,Mention,4,,<[2021-05-29T19:46:09.936Z]>,1
@yubbie007,@trollfootball,Directed,Retweet,5,,<[2021-05-29T19:46:09.938Z]>,1
@dannygauthier3,@actufoot_,Directed,Mention,10,,<[2021-05-29T19:46:10.127Z]>,1
@dannygauthier3,@rmcstory,Directed,Mention,11,,<[2021-05-29T19:46:10.127Z]>,1
@dannygauthier3,@actufoot_,Directed,Retweet,12,,<[2021-05-29T19:46:10.139Z]>,1
@actufoot_,@rmcstory,Directed,Mention,13,,"<[2021-05-29T19:46:10.140Z, 2021-05-29T19:46:10.191Z, 2021-05-29T19:46:12.069Z, 2021-05-29T19:46:13.017Z, 2021-05-29T19:46:13.331Z, 2021-05-29T19:46:13.391Z, 2021-05-29T19:46:13.990Z, 2021-05-29T19:46:15.080Z, 2021-05-29T19:46:16.087Z, 2021-05-29T19:46:16.209Z, 2021-05-29T19:46:17.089Z, 2021-05-29T19:46:17.136Z, 2021-05-29T19:46:18.233Z, 2021-05-29T19:46:18.267Z, 2021-05-29T19:46:18.272Z, 2021-05-29T19:46:19.169Z, 2021-05-29T19:46:19.915Z, 2021-05-29T19:46:22.423Z, 2021-05-29T19:46:23.258Z, 2021-05-29T19:46:26.163Z, 2021-05-29T19:46:28.948Z, 2021-05-29T19:46:28.988Z, 2021-05-29T19:46:29.053Z, 2021-05-29T19:46:30.050Z, 2021-05-29T19:46:32.271Z, 2021-05-29T19:46:32.272Z, 2021-05-29T19:46:35.231Z, 2021-05-29T19:46:37.456Z, 2021-05-29T19:46:38.906Z, 2021-05-29T19:46:39.139Z, 2021-05-29T19:46:41.091Z, 2021-05-29T19:46:44.128Z, 2021-05-29T19:46:44.438Z, 2021-05-29T19:46:44.880Z, 2021-05-29T19:46:46.266Z, 2021-05-29T19:46:47.082Z, 2021-05-29T19:46:47.166Z, 2021-05-29T19:46:50.058Z, 2021-05-29T19:46:51.174Z, 2021-05-29T19:46:52.324Z, 2021-05-29T19:46:53.031Z, 2021-05-29T19:46:53.820Z, 2021-05-29T19:46:55.196Z, 2021-05-29T19:46:56.102Z, 2021-05-29T19:46:56.856Z, 2021-05-29T19:46:59.110Z, 2021-05-29T19:47:01.222Z, 2021-05-29T19:47:02.969Z, 2021-05-29T19:47:03.010Z, 2021-05-29T19:47:09.157Z, 2021-05-29T19:47:10.366Z, 2021-05-29T19:47:14.959Z, 2021-05-29T19:47:27.120Z, 2021-05-29T19:47:50.216Z, 2021-05-29T19:47:51.271Z, 2021-05-29T19:47:54.073Z, 2021-05-29T19:47:54.874Z, 2021-05-29T19:47:55.065Z, 2021-05-29T19:47:58.325Z, 2021-05-29T19:48:01.211Z, 2021-05-29T19:48:04.314Z, 2021-05-29T19:48:09.869Z, 2021-05-29T19:48:09.982Z, 2021-05-29T19:48:10.193Z, 2021-05-29T19:48:12.029Z, 2021-05-29T19:48:12.468Z, 2021-05-29T19:48:14.059Z, 2021-05-29T19:48:14.061Z, 2021-05-29T19:48:15.263Z, 2021-05-29T19:48:15.952Z, 2021-05-29T19:48:23.048Z, 2021-05-29T19:49:17.340Z, 2021-05-29T19:49:23.160Z, 2021-05-29T19:49:25.207Z, 2021-05-29T19:49:28.055Z, 2021-05-29T19:49:32.023Z, 2021-05-29T19:49:34.952Z, 2021-05-29T19:49:40.532Z, 2021-05-29T19:49:43.931Z, 2021-05-29T19:49:45.044Z, 2021-05-29T19:49:50.025Z, 2021-05-29T19:49:50.895Z, 2021-05-29T19:51:28.170Z, 2021-05-29T19:51:43.028Z, 2021-05-29T19:51:53.025Z, 2021-05-29T19:52:48.870Z, 2021-05-29T19:53:02.351Z, 2021-05-29T19:53:08.851Z, 2021-05-29T19:53:15.851Z, 2021-05-29T19:53:30.131Z, 2021-05-29T19:53:33.922Z]>",92
@selenafanclub,@selenagomez,Directed,Mention,91,,"<[2021-05-29T19:46:10.352Z, 2021-05-29T19:46:15.969Z, 2021-05-29T19:46:15.981Z, 2021-05-29T19:46:26.914Z, 2021-05-29T19:46:32.145Z, 2021-05-29T19:46:35.354Z, 2021-05-29T19:46:39.121Z, 2021-05-29T19:46:48.244Z, 2021-05-29T19:46:50.420Z, 2021-05-29T19:46:50.907Z, 2021-05-29T19:46:52.410Z, 2021-05-29T19:46:58.158Z, 2021-05-29T19:47:01.027Z, 2021-05-29T19:47:02.491Z, 2021-05-29T19:47:07.261Z, 2021-05-29T19:47:17.218Z, 2021-05-29T19:47:18.118Z, 2021-05-29T19:47:23.435Z, 2021-05-29T19:47:27.282Z, 2021-05-29T19:47:52.118Z, 2021-05-29T19:48:04.275Z, 2021-05-29T19:48:04.377Z, 2021-05-29T19:48:06.145Z, 2021-05-29T19:48:07.448Z, 2021-05-29T19:48:10.982Z, 2021-05-29T19:48:12.960Z, 2021-05-29T19:48:14.534Z, 2021-05-29T19:48:17.508Z, 2021-05-29T19:49:22.921Z, 2021-05-29T19:49:24.787Z, 2021-05-29T19:49:26.011Z, 2021-05-29T19:49:26.929Z, 2021-05-29T19:49:32.891Z, 2021-05-29T19:49:33.241Z, 2021-05-29T19:49:38.029Z, 2021-05-29T19:49:38.031Z, 2021-05-29T19:49:39.312Z, 2021-05-29T19:49:54.172Z, 2021-05-29T19:51:45.130Z, 2021-05-29T19:51:54.804Z, 2021-05-29T19:51:54.976Z, 2021-05-29T19:51:59.112Z, 2021-05-29T19:52:12.122Z, 2021-05-29T19:52:15.108Z, 2021-05-29T19:52:26.097Z, 2021-05-29T19:52:30.176Z, 2021-05-29T19:52:30.948Z, 2021-05-29T19:52:32.146Z, 2021-05-29T19:52:34.038Z, 2021-05-29T19:52:35.149Z, 2021-05-29T19:52:36.372Z, 2021-05-29T19:53:01.772Z, 2021-05-29T19:53:02.355Z, 2021-05-29T19:53:18.875Z, 2021-05-29T19:53:21.084Z, 2021-05-29T19:53:21.988Z, 2021-05-29T19:53:25.076Z, 2021-05-29T19:53:25.844Z, 2021-05-29T19:53:39.959Z, 2021-05-29T19:53:41.095Z, 2021-05-29T19:53:47.027Z]>",61
@selenafanclub,@marshmellomusic,Directed,Mention,92,,"<[2021-05-29T19:46:10.352Z, 2021-05-29T19:46:15.969Z, 2021-05-29T19:46:15.981Z, 2021-05-29T19:46:26.914Z, 2021-05-29T19:46:32.145Z, 2021-05-29T19:46:35.354Z, 2021-05-29T19:46:39.121Z, 2021-05-29T19:46:48.244Z, 2021-05-29T19:46:50.420Z, 2021-05-29T19:46:50.907Z, 2021-05-29T19:46:52.410Z, 2021-05-29T19:46:58.158Z, 2021-05-29T19:47:01.027Z, 2021-05-29T19:47:02.491Z, 2021-05-29T19:47:07.261Z, 2021-05-29T19:47:17.218Z, 2021-05-29T19:47:18.118Z, 2021-05-29T19:47:23.435Z, 2021-05-29T19:47:27.282Z, 2021-05-29T19:47:52.118Z, 2021-05-29T19:48:04.275Z, 2021-05-29T19:48:04.377Z, 2021-05-29T19:48:06.145Z, 2021-05-29T19:48:07.448Z, 2021-05-29T19:48:10.982Z, 2021-05-29T19:48:12.960Z, 2021-05-29T19:48:14.534Z, 2021-05-29T19:48:17.508Z, 2021-05-29T19:49:22.921Z, 2021-05-29T19:49:24.787Z, 2021-05-29T19:49:26.011Z, 2021-05-29T19:49:26.929Z, 2021-05-29T19:49:32.891Z, 2021-05-29T19:49:33.241Z, 2021-05-29T19:49:38.029Z, 2021-05-29T19:49:38.031Z, 2021-05-29T19:49:39.312Z, 2021-05-29T19:49:54.172Z, 2021-05-29T19:51:45.130Z, 2021-05-29T19:51:54.804Z, 2021-05-29T19:51:54.976Z, 2021-05-29T19:51:59.112Z, 2021-05-29T19:52:12.122Z, 2021-05-29T19:52:15.108Z, 2021-05-29T19:52:26.097Z, 2021-05-29T19:52:30.176Z, 2021-05-29T19:52:30.948Z, 2021-05-29T19:52:32.146Z, 2021-05-29T19:52:34.038Z, 2021-05-29T19:52:35.149Z, 2021-05-29T19:52:36.372Z, 2021-05-29T19:53:01.772Z, 2021-05-29T19:53:02.355Z, 2021-05-29T19:53:18.875Z, 2021-05-29T19:53:21.084Z, 2021-05-29T19:53:21.988Z, 2021-05-29T19:53:25.076Z, 2021-05-29T19:53:25.844Z, 2021-05-29T19:53:39.959Z, 2021-05-29T19:53:41.095Z, 2021-05-29T19:53:47.027Z]>",61
@mhmdhazem69,@chelseafc,Directed,Mention,116,,<[2021-05-29T19:46:10.974Z]>,1
@mhmdhazem69,@chelseafc,Directed,Retweet,117,,<[2021-05-29T19:46:10.974Z]>,1
